!Xóõ	[u'ko']
'k	[u'/(\u0259)k/', u'/(\u0259)k/']
choerban	[u'/xur\u02c8b\u0251n/']
choerbot	[u'/xur\u02c8b\u0254t/']
choetspa	[u'/xuts\u02c8pa/']
choetspot	[u'/xuts\u02c8p\u0254t/']
chof	[u'/x\u0254f/']
chofs	[u'/x\u0254fs/']
chok	[u'/x\u0254k/']
chol hamoëed	[u'/x\u0254l hamo\u02c8jet/']
cholam	[u'/xo\u02c8l\u0251m/']
cholams	[u'/xo\u02c8l\u0251ms/']
cholem	[u"/'xol\u0259m/"]
cholems	[u'/\u02c8xol\u0259ms/']
cholemwacher	[u"/'xol\u0259mw\u0251x\u0259r/"]
cholemwachers	[u"/'xol\u0259mw\u0251x\u0259rs/"]
cholera	[u'/\u03c7ol\u0259ra/']
choma oemigdal	[u"/xo'ma umi\u0261'd\u0251l/"]
chomeits	[u'/\u02c8xom\u025bits/']
chomer	[u'/\u02c8xom\u0259r/']
chomets	[u'/\u02c8xom\u025bts/']
chomets battelen	[u'/\u02c8xom\u025bts \u02c8b\u0251t\u0259l\u0259(n)/']
chometsdik	[u'/\u02c8xom\u025btsdik/']
chometsdike	[u'/\u02c8xom\u025btsdik\u0259/']
chommesj	[u'/\u02c8x\u0254m\u0259\u0283/']
chondroblast	[u'/\u02cc\u03c7\u0254ndro\u02c8bl\u0251st/', u'/\u02cc\u0263\u0254ndro\u02c8bl\u0251st/']
chondrocyt	[u'/\u02cc\u03c7\u0254ndro\u02c8sit/', u'/\u02cc\u0263\u0254ndro\u02c8sit/']
choppe	[u'/\u02c8x\u0254p\u0259/']
choppes	[u'/\u02c8x\u0254p\u0259s/']
chorba	[u'/x\u0254r\u02c8ba/']
chorbot	[u'/x\u0254r\u02c8b\u0254t/']
chosed	[u'/\u02c8\u03c7os\u025bt/']
chosen	[u'/\u02c8xos\u0259n/']
chosen Bereisjes	[u'/\u02c8xos\u0259(n) b\u0259\u02c8r\u025bi\u0283\u0259s/']
chosen Toure	[u'/\u02c8xos\u0259n \u02c8t\u0251ur\u0259/']
chosounem	[u'/xo\u02c8s\u0251un\u0259m/']
chrein	[u'/xr\u025bin/']
christelijk	[u'/kr\u026as.t\u0259.l\u0259k/']
christen	[u'/\u02c8kr\u026as.t\u0259n/', u'/\u02c8\u03c7r\u026as.t\u0259n/', u'/\u02c8kr\u026as.t\u0259n/']
christendom	[u'/\u02c8kr\u026a.st\u0259n.\u02ccd\u0254m/', u'/\u02c8kr\u026a.st\u0259n.\u02ccd\u0254m/']
christenen	[u'/\u02c8kr\u026as.t\u0259.n\u0259(n)/', u'/\u02c8\u03c7r\u026as.t\u0259.n\u0259(n)/', u'/\u02c8kr\u026as.t\u0259.n\u0259(n)/']
christus	[u'/\u02c8kr\u026as.t\u028fs/']
chromaticiteit	[u'/\u02cc\u03c7romatisi\u02c8t\u025b\u026at/', u'/\u02ccxromatisi\u02c8t\u025b\u026at/', u'/\u02cckromatisi\u02c8t\u025b\u026at/', u'/\u02cc\u0263romatisi\u02c8t\u025b\u026at/']
chromosomaal	[u'/\u02cc\u03c7ro.mo.zo.\u02c8ma\u026b/', u'/\u02cc\u0263ro.mo.zo.\u02c8ma\u026b/', u'/\u02cc\u0263ro.mo.zo.\u02c8mal/']
chromosoom	[u'/\u02cc\u03c7ro\u028amo\u028a\u02c8so\u028am/']
chronisch	[u'/\u02c8xronis/, /\u02c8kronis/']
chronologie	[u"/xrono.lo'\u0263i\u02d0/"]
chroomzuur	[u"/'xromzyr/"]
chylomicron	[u'/\u02cc\u03c7i.lo.mi.\u02c8kr\u0254n/', u'/\u02ccxi.lo.mi.\u02c8kr\u0254n/']
chylomicronen	[u'/\u02cc\u03c7i.lo.mi.\u02c8kron\u0259(n)/', u'/\u02ccxi.lo.mi.\u02c8kron\u0259(n)/']
CIA	[u'/sia\u026a\u02c8\u0294e/']
cirkel	[u'/\u02c8s\u026ark\u0259\u026b/']
cirkelzaag	[u'/\u02c8s\u026ark\u0259lzax/']
cirrus	[u"/'s\u026ar\u0275s/"]
ciseel	[u"/si'zel/"]
citaat	[u'/si\u02c8tat/']
citroen	[u'/si\u02c8trun/']
claustrofobie	[u'/kl\u028custrofo\u02c8bi\u02d0/', u'/kl\u028cstrofo\u02c8bi\u02d0/']
clausule	[u'/kl\u028c\u028a\u02c8syl\u0259/']
cliënte	[u'/kli\u02c8j\u025bnt\u0259/']
cliënten	[u'/kli\u02c8j\u025bnt\u0259n/', u'/kli\u02c8j\u025bnt\u0259/']
cliëntes	[u'/kli\u02c8j\u025bnt\u0259s/']
clown	[u'/kl\u028c\u02d0un/', u'/klo\u02d0n/']
coach	[u'/ko\u02d0t\u0283/']
coalitie	[u'/kowa\u02c8li(t)si/']
code	[u"/'kod\u0259/"]
cognaat	[u"/k\u0254\u03c7'nat/"]
cognitief	[u'/k\u0254xni\u02c8tif/']
col	[u'/k\u0254\u026b/', u'/k\u0254l/']
collageen	[u'/\u02cck\u0254l\u0251\u02c8\u0263en/']
collega	[u'/k\u0254\u02c8le\u03c7a/', u'/k\u0254\u02c8le\u0263a/']
college	[u'/k\u0254\u02c8le\u0292\u0259/']
Colombia	[u'/ko.\u02c8l\u0254m.bi.ja/', u'/ko.\u02c8l\u0254m.bi.ja/']
colonne	[u"/ko'l\u0254n\u0259/"]
comadrinken	[u'/\u02c8kom\u0251\u02ccdr\u026a\u014bk\u0259/']
comfort	[u'/k\u0254n\u02c8f\u0254rt/']
comitatief	[u'/k\u0254.mi.t\u0251.tif/']
commentaar	[u"/k\u0254m\u0259n'tar/"]
commercieel	[u'/k\u0254m\u0259r\u02c8\u0283el/, /k\u0254m\u025br\u02c8sjel/']
commerciëlen	[u'/k\u0254m\u0259r\u02c8\u0283el\u0259n/', u'/k\u0254m\u0259r\u02c8\u0283el\u0259/']
communicatie	[u'/\u02cck\u0254myni\u02c8ka\u02a6i/', u'/\u02cck\u0254myni\u02c8kasi/', u'/\u02cck\u0254.my.n\u026a.\u02c8ka\u02d0.si/']
communicatiemiddel	[u'/\u02cck\u0254myni\u02c8katsi\u02ccm\u026ad\u0259\u026b/']
communie	[u'/k\u0254.\u02c8my.ni/', u'/k\u0254.\u02c8my\u02d0.n\u026a\u0259\u032f/']
communisme	[u'/k\u0254my\u02c8n\u026asm\u0259/']
Comoren	[u'/ko.\u02c8mo\u031d\u02d0.r\u0259(n)/', u'/ko.\u02c8mo\u02d0.r\u0259(n)/']
compartiment	[u'/\u02cck\u0254mp\u0251rti\u02c8m\u025bnt/']
compatibiliteit	[u'//']
complex	[u'/k\u0254mpl\u025bks/']
compromis	[u'/k\u0254mpro\u02c8mi/, /k\u0254mpro\u02c8m\u026as/']
computer	[u'/k\u0254m.\u02c8pju.t\u0259r/', u'/k\u0254m.\u02c8p\u026a\u032fu\u02d0.t\u0259r/']
computeren	[u'/k\u0254m\u02c8pjut\u0259r\u0259(n)/']
computervredebreuk	[u'/k\u0254m\u02c8pju.t\u0259rvred\u0259br\xf8k/']
concept	[u'/k\u0254n\u02c8s\u025bpt/']
conciërge	[u'/k\u0254n.\u02c8\u0292\u025br.\u0292\u0259/', u'/k\u0254n.si.\u02c8j\u025br.\u0292\u0259/']
concluderen	[u'/\u02cck\u0254\u014bkly\u02c8der\u0259n/']
conclusie	[u'/k\u0254\u014b\u02c8klyzi/']
concreet	[u'/k\u0254n\u02c8kret/']
condensatie	[u"/k\u0254nd\u025bn'zasi/"]
conducteur	[u'/\u02cck\u0254nd\u028fk\u02c8t\xf8r/']
conform	[u"/k\u0254\u0271'f\u0254r\u0259m/"]
conformeren	[u'/k\u0254nf\u0254rmer\u0259n/']
Congo	[u'/\u02c8k\u0254\u014b.go/', u'/\u02c8k\u0254\u014b.go/', u'/\u02c8k\u0254\u014b.g(\u0263)o/']
Congo-Brazzaville	[u'/\u02cck\u0254\u014b.go.\u02c8br\u0251.za.vi\u026b/', u'/\u02cck\u0254\u014b.go.\u02c8br\u0251.za.vi\u026b/', u'/\u02cck\u0254\u014b.(g)\u0263o.\u02c8br\u0251.za.vil/']
Congo-Kinshasa	[u'/\u02cck\u0254\u014b.go.k\u026an.\u02c8\u0283\u0251.sa/', u'/\u02cck\u0254\u014b.go.k\u026an.\u02c8\u0283\u0251.sa/', u'/\u02cck\u0254\u014b.(g)\u0263o.k\u026an.\u0283a.\u02c8sa/']
congres	[u'/k\u0254\u014b\u02c8\u03c7r\u025bs/', u'/k\u0254\u014b\u02c8\u0263r\u025bs/']
conjectuur	[u'/\u02cck\u0254n.j\u025bk.\u02c8ty\u02d0r/', u'/\u02cck\u0254n.j\u025bk.\u02c8ty\u02d0r/']
consensus	[u'/k\u0254n\u02c8s\u025bnz\u028fs/']
conservatief	[u'/k\u0254nz\u025brva\u02c8tif/, /k\u0254ns\u025brva\u02c8tif/']
consistorie	[u'/k\u0254ns\u026ast\u0254\u02c8ri/']
constateren	[u"/k\u0254nsta'ter\u0259(n)/"]
constructie	[u'/xxxx/']
constructief	[u'/\u02cck\u0254nstr\u028fk\u02c8tif/']
consul	[u'/\u02c8k\u0254ns\u028fl/']
consument	[u'/k\u0254nzy\u02c8m\u025bnt/, /k\u0254nsy\u02c8m\u025bnt/']
contact	[u'/k\u0254n.\u02c8t\u0251kt/', u'/k\u0254n.\u02c8t\u0251kt/', u'/k\u0254n.\u02c8t\u0251k/']
contentmanagementsysteem	[u'/\u02c8k\u0254n.t\u0259nt.\u02ccm\u025b.n\u0259d\u0292.\u02ccm\u025bnt.si.\u02c8stem/']
contingent	[u"/k\u0254nt\u026a\u014b'g\u025bnt/"]
continueren	[u'/\u02cck\u0254ntiny\u02c8we\u02d0r\u0259(n)/']
contrabande	[u'/k\u0254ntrab\u0251nd\u0259/']
contract	[u'/k\u0254n\u02c8tr\u0251kt/']
convergent	[u'/\u02cck\u0254nv\u025br\u02c8\u0263\u025bnt/']
conversatie	[u'/k\u0254n.v\u025br.\u02c8sa.tsi/']
converteren	[u'/k\u0254n.v\u025br.\u02c8te.r\u0259(n)/']
Cornisch	[u'/\u02c8k\u0254rnis/', u'/\u02c8k\u0254rnis/', u'/\u02c8k\u0254rn\u026as/']
corpulent	[u"/k\u0254rpy'l\u025bnt/"]
corpus	[u"/'k\u0254rp\u0275s/", u"/'k\u0254rpora/"]
corrigeren	[u'/\u02cck\u0254ri\u02c8\u0292\u026a\u02d0r\u0259(n)/', u'/\u02cck\u0254ri\u02c8\u03c7\u026a\u02d0r\u0259(n)/', u'/\u02cck\u0254ri\u02c8\u0292e\u02d0r\u0259(n)/']
Corsica	[u"/'k\u0254rs\u026ak\u0251/"]
Costa Rica	[u'/\u02cck\u0254s.ta.\u02c8ri.ka/', u'/\u02cck\u0254s.ta.\u02c8ri.ka/']
creatief	[u'/kreja\u02c8tif/']
crenarchaeota	[u'/\u02c8kr\u025bn\u0251rxe\u02ccota/']
creëren	[u'/kre\u02c8je\u02d0r\u0259(n)/']
criterium	[u'/kri\u02c8terij\u028fm/']
crossen	[u'/\u02c8kr\u0254s\u0259(n)/']
cryogenium	[u"/krio'\u0263eni\u0275m/"]
cryomeren	[u'/kri\u02b2\u0254\u02c8mer\u0259(n)/']
cryomerend	[u'/kri\u02b2\u0254\u02c8mer\u0259nt/']
Cuba	[u'/\u02c8ky.ba/', u'/\u02c8ky.ba/']
cultureel	[u'/k\u028flty\u02c8rel/']
cultuur	[u"/k\u0275l'ty\u02d0r/"]
cumul	[u'/ky\u02c8my\u026b/']
cumulatief	[u'/kymyla\u02c8tif/']
cumuleren	[u'/kymy\u02c8ler\u0259(n)/']
cumulus	[u"/'kymyl\u0275s/"]
Curaçao	[u'/ky.ra.\u02c8s\u028c\u028a\u032f/', u'/ky\u02d0.ra.\u02c8za\u028a\u032f/']
Curaçao	[u'/ky.ra.\u02c8s\u028c\u028a\u032f/', u'/ky\u02d0.ra.\u02c8za\u028a\u032f/']
cyanobacteriën	[u'/si\u02c8anob\u0251k\u02cct\u026a:ri\u0259(n)/']
cyclisch	[u'/\u02c8siklis/']
cynisch	[u'/\u02c8sinis/']
Cyprus	[u'/\u02c8si.pr\u028fs/', u'/\u02c8si.pr\u0259s/', u'/\u02c8si.pr\u028fs/', u'/\u02c8ki.pr\u028fs/']
cyrillisch	[u'/s\u026a\u02c8r\u026al\u026as/']
cystitis	[u"/s\u026a'stit\u0259s/"]
cytoplasma	[u'/\u02ccsit\u0254\u02c8pl\u0251sma/']
cytoskelet	[u'/\u02c8sitosk\u0259\u02ccl\u025bt/']
cytosol	[u'/\u02c8sit\u0254z\u0254l/']
d'r	[u'/d\u0259r/', u'/\u0259r/', u'/d\u0259/', u'/\u0259/']
D-groot	[u"/de'\u0263rot/"]
D-majeur	[u"/de'\u0263rot/"]
da's	[u'/d\u0251s/']
daagje	[u'/\u02c8da\u03c7j\u0259/', u'/\u02c8daxj\u0259/']
daagjes	[u'/\u02c8da\u03c7j\u0259s/', u'/\u02c8daxj\u0259s/']
daar	[u'/da\u02d0r/']
daarachter	[u'/\u02c8dar\u0251xt\u0259r/']
daaraf	[u'/\u02c8dar\u0251f/']
daarbuiten	[u'/dar\u02c8b\u0153yt\u0259(n)/']
daarginds	[u'/dar.\u02c8\u03c7\u026an(t)s/', u'/\u02c8dar.\u0263\u026an(t)s/']
daartoe	[u"/dar'tu/"]
dacht	[u'/d\u0251\u03c7t/', u'/d\u0251xt/']
dacht mee	[u'/d\u0251\u03c7t\u02c8me/', u'/d\u0251xt\u02c8me/']
dachten	[u'/d\u0251\u03c7t\u0259(n)/', u'/d\u0251xt\u0259(n)/']
dachten mee	[u'/\u02ccd\u0251\u03c7t\u0259(n)\u02c8me/', u'/\u02ccd\u0251xt\u0259(n)\u02c8me/']
dader	[u'/\u02c8dad\u0259r/']
dag	[u'/d\u0251\u03c7/', u'/d\u0251x/']
dag-en-nachtevening	[u'/\u02ccd\u0251\u03c7\u025b\u02c8n\u0251\u03c7tev\u0259\u02ccn\u026a\u014b/', u'/\u02ccd\u0251\u0263\u025b\u02c8n\u0251xtev\u0259\u02ccn\u026a\u014b/', u'/\u02ccd\u0251\u0263\u025b\u02c8n\u0251\u0263ev\u0259\u02ccn\u026a\u014b/']
dag-en-nachteveningen	[u'/\u02ccd\u0251\u03c7\u025b\u02c8n\u0251\u03c7tev\u0259\u02ccn\u026a\u014b\u0259(n)/', u'/\u02ccd\u0251x\u025b\u02c8n\u0251xtev\u0259\u02ccn\u026a\u014b\u0259(n)/']
dageesj	[u"/da'\u0261e\u0283/"]
dageesj chazak	[u"/da'\u0261e\u0283 xa'z\u0251k/"]
dageesj kal	[u"/da'\u0261e\u0283 k\u0251l/"]
dagen	[u'/\u02c8da\u03c7\u0259(n)/', u'/\u02c8da\u0263\u0259(n)/']
dagje	[u'/\u02c8d\u0251\u03c7j\u0259/', u'/\u02c8d\u0251xj\u0259/']
dagjes	[u'/\u02c8d\u0251\u03c7j\u0259s/', u'/\u02c8d\u0251xj\u0259s/']
daglicht	[u"/'d\u0251xl\u026axt/"]
dajan	[u'/da\u02c8j\u0251n/']
dajaniem	[u'/daja\u02c8nim/']
dajen	[u'/\u02c8daj\u0259n/']
dajonem	[u'/da\u02c8jon\u0259m/']
dak	[u'/d\u0251k/']
dal	[u'/d\u0251l/']
dalet	[u'/\u02c8dal\u025bt/']
dalets	[u'/\u02c8dal\u025bts/']
dalfde	[u'/\u02c8d\u0251lvd\u0259/']
dalfen	[u'/\u02c8d\u0251lf\u0259n/']
dalfonem	[u'/d\u0251l\u02c8fon\u0259m/']
dalles	[u'/\u02c8d\u0251l\u0259s/']
dalven	[u"/'d\u0251lv\u0259(n)/"]
dalver	[u'/\u02c8d\u0251lv\u0259r/']
dalvers	[u'/\u02c8d\u0251lv\u0259rs/']
dam	[u'/d\u0251m/']
dammen	[u'/\u02c8d\u0251.m\u0259/']
damp	[u'/d\u0251mp/']
dan	[u'/d\u0251n/']
danig	[u"/'dan\u0259x/"]
dank	[u'/d\u0251\u014bk/']
dank u	[u'/\u02c8d\u0251\u014b.ky/', u'/\u02c8da\u014b.k\u0259/']
danken	[u'/d\u0251\u014bk\u0259n/']
dansen	[u'/\u02c8d\u0251ns\u0259n/']
danser	[u"/'d\u0251ns\u0259r/"]
danseres	[u"/d\u0251ns\u0259'r\u025bs/"]
dapper	[u'/\u02c8d\u0251p\u0259r/']
darm	[u'/d\u0251rm/']
darsjan	[u'/d\u0251r\u02c8\u0283\u0251n/']
darsjaniem	[u'/d\u0251r\u0283a\u02c8nim/']
darsjen	[u'/\u02c8d\u0251r\u0283\u0259n/']
darsjonem	[u'/d\u0251r\u02c8\u0283on\u0259m/']
dati	[u'/da\u02c8ti/']
datief	[u"/'datif/"]
datiiem	[u'/dati\u02c8jim/']
datum	[u'/\u02c8dat\u028fm/']
davar	[u'/da\u02c8v\u0251r/']
davvende	[u'/\u02c8d\u0251v\u0259nd\u0259/']
de	[u'/d\u0259/']
debiel	[u'/de\u02c8bil/']
deblokkeren	[u'/de.bl\u0254.\u02c8ke\u02d0.r\u0259(n)/']
debuut	[u'/d\u0259\u02c8byt/, /de\u02c8byt/']
deca-	[u'/deka/']
decapitatie	[u'/dekapi\u02c8ta(t)si/']
decapitaties	[u'/dekapi\u02c8ta(t)sis/']
december	[u'/de\u02c8s\u025bmb\u0259r/']
decimaal	[u"/desi'mal/"]
decimeter	[u'/\u02c8desi\u02ccmet\u0259r/']
deden	[u'/\u02c8ded\u0259(n)/']
deed	[u'/det/']
deeg	[u'/dex/']
deel	[u'/\u02c8de\u02d0l/']
deel mee	[u'/d\u026a\u02d0\u026b\u02c8me/', u'/del\u02c8me/']
deelde mee	[u'/\u02ccd\u026a\u02d0\u026bd\u0259\u02c8me/', u'/\u02ccdeld\u0259\u02c8me/']
deelden mee	[u'/\u02ccd\u026a\u02d0\u026bd\u0259(n)\u02c8me/', u'/\u02ccdeld\u0259(n)\u02c8me/']
deelnemen	[u'/\u02c8delnem\u0259(n)/']
deelt mee	[u'/d\u026a\u02d0\u026bt\u02c8me/', u'/delt\u02c8me/']
Deen	[u'/den/', u'/de\u026a\u032fn/', u'/de\u02d0n/']
Deens	[u'/dens/', u'/de\u026a\u032fns/', u'/de\u02d0ns/']
Deense	[u'/\u02c8dens\u0259/', u'/\u02c8de\u026a\u032fns\u0259/', u'/\u02c8de\u02d0ns\u0259/']
definitief	[u'/definitif/', u"/defini'tif/"]
degaliem	[u"/d\u0259\u0261a'lim/"]
degel	[u"/'d\u025b\u0261\u025bl/"]
degene	[u"/d\u0259'\u0263en\u0259/"]
deinterlacing	[u'/d\u0259.in.ter.lac.k\u026a\u014b/']
dekbed	[u'/\u02c8d\u025bgb\u025bt/']
deken	[u'/dek\u0259(n)/', u'/dek\u0259(n)/']
dekens	[u'/\u02c8dek\u0259ns/', u'/\u02c8dek\u0259ns/']
dekentje	[u'/\u02c8dek\u0259\u0272cj\u0259/', u'/\u02c8dek\u0259\u0272cj\u0259/']
dekentjes	[u'/\u02c8dek\u0259\u0272cj\u0259s/', u'/\u02c8dek\u0259\u0272cj\u0259s/']
dekpunt	[u"/'d\u025bk.p\u0275nt/"]
dele mee	[u'/\u02ccdel\u0259\u02c8me/', u'/\u02ccdel\u0259\u02c8me/']
delen	[u"/'de.l\u0259(n)/"]
delen mee	[u'/\u02ccdel\u0259(n)\u02c8me/', u'/\u02ccdel\u0259(n)\u02c8me/']
deleten	[u'/di\u02c8lit\u0259(n)/']
deletend	[u'/di\u02c8lit\u0259nt/']
deletet	[u'/di\u02c8lit/']
deletete	[u'/di\u02c8lit\u0259/']
deleteten	[u'/di\u02c8lit\u0259(n)/']
democratie	[u'/demokra\u02c8(t)si/, /demokr\u0251\u02c8si/']
demoniem	[u'/\u02ccde.mo.\u02c8nim/', u'/\u02ccde.mo.\u02c8nim/', u'/\u02ccde.mo.\u02c8nim/']
demonisering	[u'/demon\u026a\u02c8ze\u02d0r\u026a\u014b/']
demonstranten	[u'/dem\u0254n\u02c8strant\u0259n/']
dempen	[u'/d\u025bmp\u0259n/']
dempend	[u'/d\u025bmp\u0259nt/', u'/d\u025bmp\u0259nt/', u'/d\u025bmp\u0259nd/']
dendrologie	[u'/\u02ccd\u025bn.dro.lo\u02c8\u03c7i/', u'/\u02ccd\u025bn.dro.lo\u02c8\u0263i/']
Denemarken	[u'/\u02c8den\u0259\u02ccm\u0251rk\u0259(n)/', u'/\u02c8de\u026a\u032fn\u0259\u02ccm\u0251rk\u0259(n)/', u'/\u02c8de\u02d0n\u0259\u02ccm\u0251rk\u0259(n)/']
denk	[u'/d\u025b\u014bk/', u'/d\u025b\u014bk/']
denk mee	[u'/d\u025b\u014bk\u02c8me/', u'/d\u025b\u014bk\u02c8me/']
denke	[u"/'d\u025b\u014bk\u0259/", u"/'d\u025b\u014bk\u0259/"]
denke mee	[u'/\u02ccd\u025b\u014bk\u0259\u02c8me/', u'/\u02ccd\u025b\u014bk\u0259\u02c8me/']
denken mee	[u'/\u02ccd\u025b\u014bk\u0259(n)\u02c8me/', u'/\u02ccd\u025b\u014bk\u0259(n)\u02c8me/']
denkend	[u'/\u02c8d\u025b\u014bk\u0259nt/', u'/\u02c8d\u025b\u014bk\u0259nt/']
denkfout	[u'/talf\u0254ut/']
denkt	[u'/d\u025b\u014bkt/', u'/d\u025b\u014bkt/']
denkt mee	[u'/d\u025b\u014bkt\u02c8me/', u'/d\u025b\u014bkt\u02c8me/']
dennenscheerder	[u"/'d\u025bn\u0259sx\u026a\u02d0rd\u0259r/"]
deo	[u'/\u02c8dejo/']
deodorant	[u'/\u02ccdejod\u0254\u02d0\u02c8r\u0251nt/']
deponeren	[u'/\u02ccdepo\u02c8ne\u02d0r\u0259(n)/']
depressief	[u'/\u02ccdepr\u025b\u02c8sif/']
deprivatie	[u'/depri\u02c8va\u02a6i/']
der	[u'/d\u0259r/', u'/d\u025br/', u'/d\u0259r/', u'/d\u025br/', u'/d\u025br/']
deraas	[u'/d\u0259\u02c8ras/']
derby	[u'/\u02c8d\u0251\u02d0(\u0279).bi/', u'/\u02c8d\u0289r.bi/', u'/\u02c8d\u025br.bi/']
derde	[u'/\u02c8d\u025brd\u0259/']
derech	[u"/'d\u025br\u025bx/"]
derech erets	[u"/'d\u025br\u025bx '\u025br\u025bts/"]
dertien	[u'/\u02c8d\u025brtin/']
dertig	[u'/\u02c8d\u025brt\u0259x/']
des	[u'/d\u025bs/']
Des-groot	[u"/d\u025bs'xrot/"]
des-klein	[u"/d\u025bs'kl\u025b\u026an/"]
Des-majeur	[u"/d\u025bs'xrot/"]
des-mineur	[u"/d\u025bs'kl\u025b\u026an/"]
desalniettemin	[u"/'d\u025bz\u0251lnit\u0259'm\u026an/"]
desolidariseren	[u'/\u02ccdesolidari\u02c8z\u026a\u02d0r\u0259(n)/', u'/\u02ccdesolidari\u02c8ze\u02d0r\u0259(n)/']
destijds	[u"/'d\u025bs't\u025bits/"]
detail	[u"/de'taj/"]
detergens	[u"/de't\u025br\u0263\u025bns/"]
deugd	[u'/d\xf8xt/']
deugdelijk	[u'/d\xf8xd\u0259l\u0259k/', u'/d\xf8gd\u0259l\u0259k/']
deugniet	[u'/\u02c8d\xf8xnit/']
deuk	[u'/d\xf8k/']
deur	[u'/d\xf8\u02d0r/']
deurwaarder	[u'/d\xf8rward\u0259r/']
devar Tora	[u'/de\u02c8v\u0251r to\u02c8ra/']
devariem	[u"/d\u0259va'rim/"]
Deventer	[u"/'dev\u0259nt\u0259r/"]
deze	[u'/\u02c8dez\u0259/']
dezer	[u'/\u02c8dez\u0259r/']
dezes	[u'/dez\u0259s/']
deïsme	[u'/de\u02b2\u026asm\u0259/']
di-	[u'/di/']
dia-	[u"/ 'dija/"]
diagnose	[u'/dija\u0263\u02c8noz\u0259/, /dij\u0251\u0263\u02c8noz\u0259/']
diagnosticeren	[u"/'d\u026a\u0251\u0263n\u0254st\u026a'se\u02d0r\u0259(n)/"]
diagonaal	[u"/di\u0251go'nal/"]
dialect	[u'/dia\u02c8l\u025bkt/']
dialectologie	[u'/\u02ccdi.ja.\u02ccl\u025bk.to.lo.\u02c8\u03c7i/', u'/\u02ccdi.ja.\u02ccl\u025bk.to.lo.\u02c8\u0263i/']
dialectoloog	[u'/\u02ccdi.ja.\u02ccl\u025bk.to.\u02c8lo\u03c7/', u'/\u02ccdi.ja.\u02ccl\u025bk.to.\u02c8lox/']
diaprojector	[u'/\u02c8dijapro\u02ccj\u025bkt\u0254r/']
diaprojectoren	[u'/\u02c8dijaproj\u025bk\u02cctor\u0259n/', u'/\u02c8dijaproj\u025bk\u02cctor\u0259/']
diaprojectors	[u'/\u02c8dijapro\u02ccj\u025bkt\u0254rs/']
diarree	[u"/di\u0251're/"]
diatomeeën	[u'/\u02ccdiato\u02c8me\u0259(n)/']
diatomen	[u'/\u02ccdia\u02c8tom\u0259(n)/']
dibberde	[u'/\u02c8d\u026ab\u0259rd\u0259/']
dibbes	[u'/\u02c8d\u026ab\u0259s/']
dibbesen	[u'/\u02c8d\u026ab\u0259s\u0259(n)/']
dibboek	[u'/\u02c8d\u026abuk/']
dicht	[u'/d\u026axt/']
dichtbij	[u'/d\u026a\u03c7\u02c8b\u025b\u026a/', u'/d\u026axt\u02c8b\u025b\u02d0/', u'/d\u026a\u0263.\u02c8b\u025b\u026a\u032f/']
dichterbij	[u'/\u02ccd\u026axt\u0259r\u02c8b\u025b\u026a/', u'/\u02ccd\u026axt\u0259r\u02c8b\u025b\u02d0/']
dichterlijk	[u'/\u02c8dixterl\u026ak/']
dictee	[u"/d\u026ak'te/"]
dictum	[u'/\u02c8d\u026ak.t\u028fm/', u'/\u02c8d\u026ak.t\u028fm/']
die	[u'/di\u02d0/']
dieen	[u"/di'jen/"]
dien	[u'/din/']
dien wechesjbon	[u"/din w\u0259x\u025b\u0283'b\u0254n/"]
diep	[u'/dip/']
diepte	[u"/'dipt\u0259/"]
dier	[u'/di\u02d0r/']
dierbaar	[u'/\u02c8dirbar/']
dieren	[u'/\u02c8dir\u0259(n)/']
dierenriem	[u"/'dir\u0259nrim/"]
dierentuin	[u'/\u02c8di\u02d0r\u0259(n)\u02cct\u0153\u028f\u032fn/', u'/\u02c8di\u02d0r\u0259(n)\u02cct\u0153\u02d0n/']
dierproef	[u'/\u02c8dirpruf/']
dies	[u'/dis/']
dieselolie	[u'/\u02c8diz\u0259loli/']
diffuus	[u'/d\u026a\u02c8fys', u'/d\u026a\u02c8fyz\u0259/']
diftong	[u'/\u02c8d\u026aft\u0254\u014b/']
dij	[u'/d\u025bj/']
dik	[u'/d\u026ak/', u'/d\u026ak/']
dikke	[u'/\u02c8d\u026a.k\u0259/', u'/\u02c8d\u026a.k\u0259/', u'/\u02c8d\u026a.k\u0259/']
dikker	[u'/\u02c8d\u026a.k\u0259r/', u'/\u02c8d\u026a.k\u0259r/', u'/\u02c8d\u026a.k\u0259r/']
dikkere	[u'/\u02c8d\u026a.k\u0259.r\u0259/', u'/\u02c8d\u026a.k\u0259.r\u0259/', u'/\u02c8d\u026a.k\u0259.r\u0259/']
dikkers	[u'/\u02c8d\u026a.k\u0259rs/', u'/\u02c8d\u026a.k\u0259rs/', u'/\u02c8d\u026a.k\u0259rs/']
diks	[u'/d\u026aks/', u'/d\u026aks/']
dikst	[u'/d\u026akst/', u'/d\u026akst/', u'/d\u026aks/']
dikste	[u'/\u02c8d\u026ak.st\u0259/', u'/\u02c8d\u026ak.st\u0259/', u'/\u02c8d\u026ak.st\u0259/']
dilemma	[u"/d\u026a'l\u025bm\u0251/"]
dina demalchoeta dina	[u"/'dina d\u0259m\u0251l'xuta 'dina/"]
diners	[u'/di\u02c8nes/']
dinertje	[u'/di\u02c8nec\u0259/']
dinertjes	[u'/di\u02c8nec\u0259s/']
ding	[u'/\u02c8d\u026a\u014b/']
